ResponseId,Age,EdLevel,Country
2,35-44 years old,Bachelor,United Kingdom
3,45-54 years old,Master,United Kingdom
10,35-44 years old,Master,Serbia
11,35-44 years old,Bachelor,United States
12,45-54 years old,Doctorate,Poland
19,25-34 years old,Some College,Germany
23,45-54 years old,Bachelor,Ireland
24,55-64 years old,Bachelor,United States
27,35-44 years old,Bachelor,Italy
29,25-34 years old,Secondary School,United Kingdom
30,25-34 years old,Bachelor,Philippines
33,25-34 years old,Associate,Brazil
36,25-34 years old,Some College,United States
37,18-24 years old,Secondary School,Austria
39,35-44 years old,Doctorate,France
41,25-34 years old,Bachelor,Brazil
44,35-44 years old,Master,Austria
45,25-34 years old,Master,Romania
46,25-34 years old,Bachelor,United Kingdom
52,18-24 years old,Secondary School,United States
53,18-24 years old,Secondary School,Germany
55,25-34 years old,Some College,United Kingdom
62,55-64 years old,Master,Switzerland
65,45-54 years old,Bachelor,Sweden
72,45-54 years old,Bachelor,Sweden
75,55-64 years old,Master,Switzerland
78,18-24 years old,Some College,North Macedonia
79,45-54 years old,Bachelor,United States
87,45-54 years old,Secondary School,United Kingdom
111,18-24 years old,Master,Greece
113,45-54 years old,Bachelor,Ireland
114,45-54 years old,Master,United States
119,25-34 years old,Bachelor,Sweden
121,25-34 years old,Bachelor,Tanzania
122,45-54 years old,Master,Ireland
125,35-44 years old,Bachelor,Japan
127,25-34 years old,Master,India
129,35-44 years old,Bachelor,United States
130,35-44 years old,Secondary School,Sweden
132,25-34 years old,Bachelor,Germany
134,18-24 years old,Some College,United Kingdom
138,35-44 years old,Bachelor,Argentina
140,Under 18 years old,Secondary School,Pakistan
142,25-34 years old,Some College,Italy
150,35-44 years old,Some College,Croatia
151,25-34 years old,Bachelor,Turkey
156,25-34 years old,Master,Portugal
158,18-24 years old,Associate,United States
159,25-34 years old,Bachelor,Sri Lanka
163,25-34 years old,Bachelor,Sri Lanka
166,35-44 years old,Master,United States
173,18-24 years old,Some College,Romania
176,25-34 years old,Master,United States
181,25-34 years old,Master,Portugal
182,18-24 years old,Some College,Poland
183,25-34 years old,Bachelor,United States
185,35-44 years old,Master,Hungary
189,25-34 years old,Bachelor,Canada
190,35-44 years old,Secondary School,Czech Republic
191,55-64 years old,Some College,Canada
192,35-44 years old,Some College,Bulgaria
196,25-34 years old,Master,India
200,45-54 years old,Master,India
205,25-34 years old,Some College,United States
208,18-24 years old,Bachelor,France
209,25-34 years old,Bachelor,Netherlands
210,25-34 years old,Bachelor,United States
211,25-34 years old,Master,France
212,55-64 years old,Bachelor,United Kingdom
215,35-44 years old,Doctorate,Dominican Republic
216,25-34 years old,Bachelor,United States
218,25-34 years old,Secondary School,Brazil
223,35-44 years old,Master,France
226,25-34 years old,Secondary School,Germany
230,45-54 years old,Doctorate,United States
235,35-44 years old,Some College,India
238,35-44 years old,Master,Poland
242,45-54 years old,Some College,United States
243,18-24 years old,Master,Morocco
254,35-44 years old,Bachelor,Switzerland
256,35-44 years old,Some College,Brazil
262,35-44 years old,Bachelor,Sweden
263,35-44 years old,Master,Austria
274,45-54 years old,Bachelor,United States
275,18-24 years old,Bachelor,Russia
276,25-34 years old,Bachelor,United Kingdom
280,35-44 years old,Bachelor,United States
281,25-34 years old,Bachelor,Switzerland
284,18-24 years old,Bachelor,Tunisia
285,35-44 years old,Bachelor,United Kingdom
293,55-64 years old,Bachelor,United States
299,25-34 years old,Bachelor,Bangladesh
300,45-54 years old,Some College,United Kingdom
311,25-34 years old,Some College,Ukraine
315,35-44 years old,Bachelor,Germany
318,25-34 years old,Bachelor,Bangladesh
320,25-34 years old,Doctorate,Portugal
324,25-34 years old,Some College,Ukraine
326,35-44 years old,Some College,Germany
331,18-24 years old,Bachelor,United States
333,35-44 years old,Master,United States
341,25-34 years old,Bachelor,Pakistan
342,45-54 years old,Bachelor,United States
347,35-44 years old,Bachelor,Vietnam
351,35-44 years old,Associate,United States
352,25-34 years old,Bachelor,India
353,55-64 years old,Master,France
355,35-44 years old,Bachelor,Belgium
358,45-54 years old,Some College,Romania
359,45-54 years old,Master,United Kingdom
360,45-54 years old,Bachelor,United States
367,35-44 years old,Bachelor,United Kingdom
372,35-44 years old,Bachelor,Turkey
373,25-34 years old,Bachelor,United Kingdom
378,35-44 years old,Bachelor,Brazil
380,35-44 years old,Master,Turkey
385,35-44 years old,Some College,United States
386,35-44 years old,Master,France
389,35-44 years old,Master,Spain
391,35-44 years old,Master,Germany
393,35-44 years old,Doctorate,United Kingdom
395,25-34 years old,Bachelor,India
399,45-54 years old,Some College,United States
400,18-24 years old,Bachelor,Ukraine
408,18-24 years old,Bachelor,India
411,45-54 years old,Doctorate,United States
412,55-64 years old,Master,Italy
413,25-34 years old,Bachelor,United States
417,35-44 years old,Master,Brazil
419,35-44 years old,Bachelor,Philippines
421,35-44 years old,Master,Portugal
430,35-44 years old,Master,Sweden
432,35-44 years old,Bachelor,United States
433,35-44 years old,Secondary School,United States
434,35-44 years old,Master,United States
444,35-44 years old,Bachelor,United Kingdom
445,25-34 years old,Bachelor,United Kingdom
450,25-34 years old,Master,United Kingdom
452,25-34 years old,Some College,South Africa
453,25-34 years old,Bachelor,Chile
454,65 years or older,Master,United Kingdom
464,25-34 years old,Secondary School,United Kingdom
466,45-54 years old,Some College,Italy
469,35-44 years old,Master,Germany
471,45-54 years old,Bachelor,United States
475,35-44 years old,Bachelor,Ghana
480,25-34 years old,Bachelor,Brazil
484,25-34 years old,Master,Ukraine
486,25-34 years old,Associate,United States
489,35-44 years old,Master,Russia
492,35-44 years old,Some College,France
493,35-44 years old,Bachelor,Canada
494,45-54 years old,Bachelor,Israel
495,45-54 years old,Bachelor,United States
497,35-44 years old,Doctorate,United States
499,55-64 years old,Bachelor,United States
500,45-54 years old,Bachelor,United States
502,25-34 years old,Master,Ukraine
506,35-44 years old,Some College,Germany
507,45-54 years old,Secondary School,United Kingdom
509,45-54 years old,Bachelor,United Kingdom
511,35-44 years old,Bachelor,United States
515,35-44 years old,Bachelor,United States
523,35-44 years old,Master,United States
529,45-54 years old,Bachelor,United States
531,35-44 years old,Master,Germany
533,25-34 years old,Some College,United States
535,35-44 years old,Bachelor,Bolivia
543,18-24 years old,Master,Morocco
546,35-44 years old,Secondary School,United States
548,18-24 years old,Bachelor,India
549,25-34 years old,Master,India
553,35-44 years old,Master,Luxembourg
554,35-44 years old,Bachelor,Georgia
557,25-34 years old,Bachelor,Greece
562,18-24 years old,Bachelor,Ireland
565,35-44 years old,Bachelor,Saudi Arabia
567,35-44 years old,Master,United States
570,25-34 years old,Bachelor,Brazil
571,35-44 years old,Bachelor,United States
573,55-64 years old,Bachelor,United States
574,25-34 years old,Bachelor,United States
577,35-44 years old,Bachelor,Germany
580,45-54 years old,Bachelor,United States
585,35-44 years old,Bachelor,Bangladesh
588,65 years or older,Bachelor,United States
589,18-24 years old,Other,United States
591,35-44 years old,Master,India
593,35-44 years old,Associate,United States
595,25-34 years old,Bachelor,United States
601,25-34 years old,Master,Algeria
603,18-24 years old,Master,Ukraine
604,35-44 years old,Bachelor,United Kingdom
607,55-64 years old,Bachelor,United States
608,25-34 years old,Bachelor,Switzerland
609,25-34 years old,Secondary School,United States
613,25-34 years old,Master,Spain
614,18-24 years old,Bachelor,India
619,35-44 years old,Master,United Kingdom
620,18-24 years old,Associate,Italy
621,25-34 years old,Bachelor,United States
624,35-44 years old,Some College,Sweden
632,18-24 years old,Secondary School,Switzerland
641,45-54 years old,Some College,Ireland
642,35-44 years old,Doctorate,Germany
643,55-64 years old,Bachelor,United States
645,45-54 years old,Bachelor,United States
647,35-44 years old,Some College,Bulgaria
650,25-34 years old,Master,Lithuania
651,25-34 years old,Bachelor,Italy
654,25-34 years old,Master,Kazakhstan
655,18-24 years old,Secondary School,United Kingdom
657,55-64 years old,Master,Netherlands
663,35-44 years old,Some College,Romania
666,25-34 years old,Master,India
670,18-24 years old,Bachelor,United States
672,35-44 years old,Master,United States
674,35-44 years old,Some College,Germany
675,35-44 years old,Some College,United States
687,18-24 years old,Master,India
688,18-24 years old,Some College,Brazil
690,25-34 years old,Bachelor,Italy
691,55-64 years old,Bachelor,United States
692,25-34 years old,Master,France
695,45-54 years old,Some College,Netherlands
698,18-24 years old,Bachelor,India
699,18-24 years old,Bachelor,Ukraine
700,45-54 years old,Master,Germany
701,25-34 years old,Associate,Canada
704,45-54 years old,Bachelor,United States
705,25-34 years old,Bachelor,Jordan
709,35-44 years old,Master,United States
715,35-44 years old,Bachelor,United States
723,18-24 years old,Bachelor,India
727,35-44 years old,Bachelor,Chile
728,35-44 years old,Master,United Kingdom
729,35-44 years old,Bachelor,Italy
731,25-34 years old,Bachelor,United States
735,25-34 years old,Secondary School,Czech Republic
738,25-34 years old,Master,Ukraine
741,45-54 years old,Bachelor,United States
744,35-44 years old,Master,Turkey
745,25-34 years old,Master,Netherlands
760,25-34 years old,Secondary School,Austria
763,18-24 years old,Some College,United States
767,25-34 years old,Master,Ukraine
770,35-44 years old,Master,Poland
772,45-54 years old,Some College,Italy
773,18-24 years old,Bachelor,Ukraine
779,35-44 years old,Master,Canada
780,25-34 years old,Bachelor,Canada
782,35-44 years old,Master,United States
788,35-44 years old,Doctorate,United Kingdom
790,35-44 years old,Master,Ukraine
791,45-54 years old,Some College,United Kingdom
797,25-34 years old,Bachelor,Venezuela
808,25-34 years old,Bachelor,United States
811,55-64 years old,Some College,United States
813,25-34 years old,Bachelor,India
814,35-44 years old,Other,Poland
816,25-34 years old,Associate,Italy
820,65 years or older,Bachelor,Denmark
824,35-44 years old,Bachelor,United States
825,25-34 years old,Master,United States
826,25-34 years old,Bachelor,India
827,35-44 years old,Master,Sweden
829,35-44 years old,Master,United States
832,45-54 years old,Associate,United States
834,35-44 years old,Master,South Africa
844,18-24 years old,Bachelor,United States
848,25-34 years old,Doctorate,Portugal
849,25-34 years old,Master,Ukraine
852,35-44 years old,Other,Austria
857,25-34 years old,Master,United Kingdom
859,45-54 years old,Some College,United Kingdom
861,35-44 years old,Bachelor,Nicaragua
862,35-44 years old,Bachelor,United States
870,35-44 years old,Master,United States
874,45-54 years old,Master,Germany
880,35-44 years old,Master,Thailand
883,25-34 years old,Associate,Switzerland
884,45-54 years old,Master,Serbia
887,18-24 years old,Bachelor,United States
888,25-34 years old,Bachelor,India
891,35-44 years old,Some College,Portugal
901,25-34 years old,Bachelor,Brazil
902,35-44 years old,Bachelor,India
907,25-34 years old,Master,Ukraine
909,18-24 years old,Master,Ukraine
913,25-34 years old,Bachelor,Israel
916,25-34 years old,Bachelor,Hungary
919,65 years or older,Other,United States
924,35-44 years old,Doctorate,Germany
926,25-34 years old,Bachelor,United States
928,25-34 years old,Bachelor,Russia
932,35-44 years old,Bachelor,United States
935,25-34 years old,Master,Spain
938,25-34 years old,Associate,United States
944,35-44 years old,Master,Bangladesh
946,45-54 years old,Some College,Croatia
948,25-34 years old,Bachelor,India
953,35-44 years old,Master,Canada
954,25-34 years old,Master,Indonesia
957,35-44 years old,Master,Denmark
958,45-54 years old,Master,France
960,25-34 years old,Master,Netherlands
961,25-34 years old,Some College,South Africa
964,25-34 years old,Some College,Netherlands
965,25-34 years old,Bachelor,Japan
978,25-34 years old,Bachelor,United States
982,25-34 years old,Bachelor,United States
988,25-34 years old,Some College,United States
989,35-44 years old,Master,United States
991,45-54 years old,Bachelor,United States
1001,35-44 years old,Master,Saudi Arabia
1003,45-54 years old,Bachelor,United States
1004,25-34 years old,Associate,United Kingdom
1010,35-44 years old,Bachelor,United States
1018,18-24 years old,Secondary School,Germany
1019,35-44 years old,Bachelor,Mexico
1020,55-64 years old,Bachelor,United States
1021,25-34 years old,Bachelor,Ukraine
1025,35-44 years old,Primary School,United States
1026,35-44 years old,Some College,United States
1029,25-34 years old,Bachelor,Philippines
1030,35-44 years old,Master,Ukraine
1032,25-34 years old,Bachelor,United States
1033,35-44 years old,Master,Brazil
1034,35-44 years old,Bachelor,Poland
1035,55-64 years old,Bachelor,United States
1039,25-34 years old,Bachelor,Brazil
1041,35-44 years old,Master,Poland
1042,18-24 years old,Bachelor,France
1044,25-34 years old,Bachelor,Pakistan
1052,35-44 years old,Master,United States
1053,35-44 years old,Bachelor,Czech Republic
1054,45-54 years old,Master,United States
1062,25-34 years old,Bachelor,United States
1064,45-54 years old,Doctorate,Switzerland
1065,35-44 years old,Doctorate,United Kingdom
1070,45-54 years old,Master,United Kingdom
